Dataset, P(0), N, T, r, sigma, h
1, 32.570834330818926, 909, 13, 0.06955544205807106, 0.08111004699096008, 0.083333
2, 36.94204352939671, 1018, 13, 0.04207789988846755, 0.20502525823773604, 0.083333
3, 20.91194901457729, 1179, 14, 0.05895259592585133, 0.22836938120557235, 0.083333
4, 35.49368840131561, 1067, 11, 0.07198299248876505, 0.2122133520234442, 0.083333
5, 52.060998465766126, 970, 9, 0.055150012360985046, 0.14539896747525433, 0.083333
6, 46.84505023156885, 1056, 15, 0.04802268929668696, 0.18844322215386142, 0.083333
7, 40.39955090397668, 818, 14, 0.059021589892783735, 0.09589119598948714, 0.083333
8, 50.97429716400045, 1053, 15, 0.06925410966919918, 0.18639516020718608, 0.083333
9, 51.00094886328916, 1170, 16, 0.04885288001047909, 0.1695387081784711, 0.083333
10, 52.13149164993274, 957, 8, 0.048470186270248954, 0.16762207398950182, 0.083333
11, 32.746924745600694, 926, 14, 0.053858476039963125, 0.17440181827234733, 0.083333
12, 31.777196070593877, 981, 12, 0.0611655492384872, 0.19979893875218127tran, 0.083333
13, 37.43598173150255, 1009, 11, 0.06529603827178426, 0.24492212372816327, 0.083333
14, 52.841341610847664, 1136, 9, 0.07288299055247856, 0.23020448542332517, 0.083333
15, 38.93405185344918, 909, 13, 0.07314906041425095, 0.18066992750686867, 0.083333
16, 28.120934033195987, 857, 13, 0.059345109480301576, 0.23011274598885004, 0.083333
17, 42.67116440184756, 1021, 10, 0.05936575840470379, 0.15707142165675134, 0.083333
18, 40.29576807253157, 1036, 8, 0.06441536974860518, 0.29406107980055674, 0.083333
19, 42.52926282380321, 906, 10, 0.06614987489003556, 0.23692363124178142, 0.083333
20, 22.89612077174006, 950, 12, 0.055439124580480316, 0.1632414202190694, 0.083333
21, 36.91166055116138, 989, 10, 0.05466403127289163, 0.23961562312709772, 0.083333
22, 50.52947311754021, 1151, 9, 0.046763071637493, 0.17033670763443456, 0.083333
23, 35.700905053995015, 1009, 12, 0.062288071608969243, 0.18323636064530835, 0.083333
24, 43.269381126485726, 955, 13, 0.04840921950760826, 0.17800633328197263, 0.083333
25, 40.60403382705152, 1036, 13, 0.06348349535692564, 0.18694972508084337, 0.083333
26, 37.585099624895506, 1080, 9, 0.06547452785313776, 0.1687924305506443, 0.083333
27, 46.28924772106032, 890, 7, 0.053624448449074276, 0.22245555394965902, 0.083333
28, 34.86984100062302, 1022, 14, 0.06377985385877222, 0.25969159958728427, 0.083333
29, 45.72882648013709, 1149, 13, 0.05966047689607992, 0.20248446518207355, 0.083333
30, 40.9611845309587, 834, 11, 0.06006891911855058, 0.23032285993328522, 0.083333
